Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,TotalIncome_log,LoanAmount_log,EMI,Income_Loan_Ratio
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,9.357034751126987,5.752572638825633,0.875,36.76190476190476
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,8.414274137408396,4.7535901911063645,0.32222222222222224,38.88793103448276
LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,8.572060092857077,4.718498871295094,0.3111111111111111,47.160714285714285
LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,8.801168401936692,5.017279836814924,0.41944444444444445,43.98675496688742
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,9.165343006045447,5.25227342804663,0.5305555555555556,50.05235602094241
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,8.527539483470381,4.804021044733257,0.3388888888888889,41.40983606557377
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,8.569026340056254,4.700480365792417,0.3055555555555556,47.872727272727275
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,7.273786317844895,3.5553480614894135,0.09722222222222222,41.2
LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,8.671286726753637,4.787491742782046,0.3333333333333333,48.608333333333334
LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,8.927314111060596,5.303304908059076,0.5583333333333333,37.48756218905473
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,8.06054004653864,4.30406509320417,0.20555555555555555,42.7972972972973
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,8.453614209773367,4.663439094112067,0.29444444444444445,44.264150943396224
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,8.550047528287184,4.736198448394496,0.31666666666666665,45.324561403508774
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,9.648595302907339,5.768320995793772,0.8888888888888888,48.4375
LP001106,1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,8.376090350438238,4.852030263919617,0.35555555555555557,33.921875
LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,8.057694194815587,4.605170185988092,0.2777777777777778,31.58
LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,8.542080906924017,4.969813299576001,0.4,35.59722222222222
LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,9.339261152043022,5.214935757608986,0.5111111111111111,61.82608695652174
LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,8.59711281459211,4.700480365792417,0.3055555555555556,49.236363636363635
LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,8.1886891244442,4.382026634673881,0.2222222222222222,45.0
LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,8.0106915391303,3.8501476017100584,0.13055555555555556,64.1063829787234
LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,7.783224016336037,4.31748811353631,0.20833333333333334,32.0
LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,8.744647438317532,4.897839799950911,0.37222222222222223,46.843283582089555
LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1,4695.0,8.454253391642363,4.564348191467836,0.26666666666666666,48.90625
LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1,3410.0,8.134467570277563,4.477336814478207,0.24444444444444444,38.75
LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,5649.0,8.639233817325263,3.784189633918261,0.12222222222222222,128.38636363636363
LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,5821.0,8.669227347271736,4.969813299576001,0.4,40.423611111111114
LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,6085.0,8.713582005421628,4.787491742782046,0.3333333333333333,50.708333333333336
LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,6275.0,8.744328763999984,4.969813299576001,0.4,43.576388888888886
LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,3572.0,8.18088094199639,4.605170185988092,0.2777777777777778,35.72
LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,3086.0,8.034631032923107,4.787491742782046,0.3333333333333333,25.716666666666665
LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,4230.0,8.349957272040324,4.718498871295094,0.3111111111111111,37.767857142857146
LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,4616.0,8.437283808187935,4.897839799950911,0.37222222222222223,34.44776119402985
LP001186,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0,11500.0,9.350102314351341,5.655991810819852,0.7944444444444444,40.20979020979021
LP001194,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1,3875.0,8.262300941787448,4.574710978503383,0.26944444444444443,39.94845360824742
LP001195,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,3723.0,8.222285073872717,4.564348191467836,0.26666666666666666,38.78125
LP001197,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,5566.0,8.624431942085836,4.90527477843843,0.375,41.22962962962963
LP001198,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1,10330.0,9.242807562113684,5.19295685089021,0.5,57.388888888888886
LP001199,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1,6216.0,8.734881892047483,4.969813299576001,0.4,43.166666666666664
LP001205,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,6296.0,8.74766979009724,4.787491742782046,0.3333333333333333,52.46666666666667
LP001206,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1,3029.0,8.015987811027237,4.59511985013459,0.275,30.595959595959595
LP001207,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0,6058.0,8.709134991587183,5.10594547390058,0.9166666666666666,36.71515151515152
LP001213,1,1,1,0,0,4945,0.0,128.0,360.0,0.0,0,0,4945.0,8.506132244056813,4.852030263919617,0.35555555555555557,38.6328125
LP001222,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0,4166.0,8.334711621820917,4.7535901911063645,0.32222222222222224,35.91379310344828
LP001225,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,10321.0,9.241935933565934,5.552959584921617,0.7166666666666667,40.00387596899225
LP001228,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,5454.0,8.604104563405533,4.836281906951478,0.7,43.285714285714285
LP001233,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1,10750.0,9.28266103355581,5.7430031878094825,0.8666666666666667,34.455128205128204
LP001238,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1,7100.0,8.867850063029406,4.8283137373023015,2.0833333333333335,56.8
LP001241,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0,4300.0,8.366370301681654,4.912654885736052,0.37777777777777777,31.61764705882353
LP001243,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,6274.0,8.744169388750624,5.147494476813453,0.4777777777777778,36.47674418604651
LP001245,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1,3750.0,8.229511118964457,4.574710978503383,0.26944444444444443,38.65979381443299
LP001248,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1,3500.0,8.160518247477505,4.394449154672439,0.27,43.20987654320987
LP001250,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,0,4755.0,8.46695197497949,4.553876891600541,0.2638888888888889,50.05263157894737
LP001253,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1,7040.0,8.859363449152088,5.231108616854587,0.5194444444444445,37.64705882352941
LP001255,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0,3750.0,8.229511118964457,4.727387818712341,0.23541666666666666,33.1858407079646
LP001256,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0,8500.0,9.047821442478408,5.170483995038151,0.4888888888888889,48.29545454545455
LP001259,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0,4022.0,8.299534570332597,4.700480365792417,0.3055555555555556,36.56363636363636
LP001263,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0,7167.0,8.877242435993919,5.19295685089021,0.6,39.81666666666667
LP001264,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1,1,5499.0,8.612321536507814,4.867534450455582,0.3611111111111111,42.3
LP001265,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1,3846.0,8.254788926148725,4.709530201312334,0.30833333333333335,34.648648648648646
LP001266,1,1,1,0,1,2395,0.0,128.0,360.0,1.0,1,1,2395.0,7.781138509845015,4.852030263919617,0.35555555555555557,18.7109375
LP001267,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0,3259.0,8.089175678837561,5.117993812416755,0.4638888888888889,19.51497005988024
LP001273,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,0,8250.0,9.017968479328726,5.579729825986222,0.7361111111111112,31.132075471698112
LP001275,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1,3988.0,8.291045131081729,3.912023005428146,0.20833333333333334,79.76
LP001279,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1,4897.0,8.496378051702317,4.912654885736052,0.37777777777777777,36.00735294117647
LP001280,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,1,5333.0,8.581669210600602,4.59511985013459,0.275,53.86868686868687
LP001282,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1,4618.0,8.43771698991444,4.6443908991413725,0.28888888888888886,44.40384615384615
LP001289,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1,8566.0,9.055556158175316,5.3471075307174685,0.5833333333333334,40.79047619047619
LP001310,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1,9862.0,9.196444266784072,5.1647859739235145,0.4861111111111111,56.354285714285716
LP001316,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,1,5858.0,8.675563527387679,4.875197323201151,0.3638888888888889,44.717557251908396
LP001318,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1,11904.0,9.384629757072872,5.236441962829949,1.0444444444444445,63.319148936170215
LP001319,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1,5093.0,8.535622326884605,4.394449154672439,0.225,62.876543209876544
LP001322,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1,4133.0,8.326758814511733,4.804021044733257,0.3388888888888889,33.877049180327866
LP001325,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1,3620.0,8.194229304819817,3.2188758248682006,0.20833333333333334,144.8
LP001326,1,0,0,0,0,6782,0.0,128.0,360.0,1.0,2,0,6782.0,8.822027322685583,4.852030263919617,0.35555555555555557,52.984375
LP001327,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1,4786.0,8.47345026846832,4.919980925828125,0.38055555555555554,34.934306569343065
LP001333,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1,2974.0,7.9976631270201,3.912023005428146,0.1388888888888889,59.48
LP001334,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1,4188.0,8.339978571990427,4.74493212836325,0.6388888888888888,36.417391304347824
LP001343,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,1,5300.0,8.575462099540212,4.875197323201151,0.3638888888888889,40.458015267175576
LP001345,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1,7551.0,8.929435283803425,4.890349128221754,0.7388888888888889,56.774436090225564
LP001349,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1,8649.0,9.065198986306513,5.017279836814924,0.41944444444444445,57.27814569536424
LP001350,1,1,0,0,0,13650,0.0,128.0,360.0,1.0,2,1,13650.0,9.521494800613105,4.852030263919617,0.35555555555555557,106.640625
LP001356,1,1,0,0,0,4652,3583.0,128.0,360.0,1.0,1,1,8235.0,9.016148642611741,4.852030263919617,0.35555555555555557,64.3359375
LP001357,1,1,0,0,0,3816,754.0,160.0,360.0,1.0,2,1,4570.0,8.42726848388825,5.075173815233827,0.4444444444444444,28.5625
LP001367,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1,4082.0,8.31434234336979,4.605170185988092,0.2777777777777778,40.82
LP001369,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,1,12543.0,9.436918020024674,5.41610040220442,0.625,55.74666666666667
LP001370,1,0,0,1,0,7333,0.0,120.0,360.0,1.0,0,0,7333.0,8.9001399880938,4.787491742782046,0.3333333333333333,61.108333333333334
LP001379,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0,7400.0,8.909235279192261,5.375278407684165,0.6,34.25925925925926
LP001384,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1,2825.0,7.946263643580541,4.543294782270004,0.19583333333333333,30.0531914893617
LP001385,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1,5316.0,8.578476419833136,4.912654885736052,0.37777777777777777,39.088235294117645
LP001387,0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,1,5262.0,8.568266461600238,4.9344739331306915,0.3861111111111111,37.856115107913666
LP001391,1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,0,0,7686.0,8.94715577112479,5.0238805208462765,0.4222222222222222,50.56578947368421
LP001392,0,0,1,0,1,7451,0.0,128.0,360.0,1.0,1,1,7451.0,8.916103530553727,4.852030263919617,0.35555555555555557,58.2109375
LP001398,1,0,0,0,0,5050,0.0,118.0,360.0,1.0,1,1,5050.0,8.527143522269405,4.770684624465665,0.3277777777777778,42.79661016949152
LP001401,1,1,1,0,0,14583,0.0,185.0,180.0,1.0,0,1,14583.0,9.587611745713565,5.220355825078324,1.0277777777777777,78.82702702702703
LP001404,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1,5450.0,8.60337088765729,5.0369526024136295,0.42777777777777776,35.38961038961039
LP001405,1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,2,1,3612.0,8.192016914536875,4.442651256490317,0.2361111111111111,42.49411764705882
LP001421,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0,7710.0,8.950273466557375,5.1647859739235145,0.4861111111111111,44.05714285714286
LP001422,0,0,0,0,0,10408,0.0,259.0,360.0,1.0,2,1,10408.0,9.250330020192342,5.556828061699537,0.7194444444444444,40.18532818532819
LP001426,1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,0,1,8334.0,9.0280988119824,5.19295685089021,0.5,46.3
LP001430,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1,4166.0,8.334711621820917,3.784189633918261,0.12222222222222222,94.68181818181819
LP001431,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1,11117.0,9.316230747233615,4.919980925828125,0.38055555555555554,81.14598540145985
LP001432,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1,2957.0,7.9919305198524775,4.394449154672439,0.225,36.50617283950617
LP001439,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1,6314.0,8.750524669117937,5.267858159063328,0.5388888888888889,32.54639175257732
LP001443,0,0,0,0,0,3692,0.0,93.0,360.0,1.0,0,1,3692.0,8.213923595622743,4.532599493153256,0.25833333333333336,39.69892473118279
LP001448,1,1,3,0,0,23803,0.0,370.0,360.0,1.0,0,1,23803.0,10.077566902136047,5.91350300563827,1.0277777777777777,64.33243243243243
LP001449,1,0,0,0,0,3865,1640.0,128.0,360.0,1.0,0,1,5505.0,8.61341204915678,4.852030263919617,0.35555555555555557,43.0078125
LP001451,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,0,14363.0,9.572410734431823,5.075173815233827,0.8888888888888888,89.76875
LP001465,1,1,0,0,0,6080,2569.0,182.0,360.0,1.0,0,0,8649.0,9.065198986306513,5.204006687076795,0.5055555555555555,47.52197802197802
LP001469,1,0,0,0,1,20166,0.0,650.0,480.0,1.0,2,1,20166.0,9.91175329695316,6.476972362889683,1.3541666666666667,31.024615384615384
LP001473,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1,3943.0,8.279697133877628,4.30406509320417,0.20555555555555555,53.28378378378378
LP001478,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1,2718.0,7.907651594711089,4.248495242049359,0.19444444444444445,38.82857142857143
LP001482,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1,3459.0,8.148734808937169,3.2188758248682006,0.20833333333333334,138.36
LP001487,1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,1,4895.0,8.49596955496461,4.624972813284271,0.2833333333333333,47.990196078431374
LP001488,1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,1,0,11750.0,9.371608519572305,5.66988092298052,0.8055555555555556,40.51724137931034
LP001489,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0,4583.0,8.430109084509125,4.430816798843313,0.23333333333333334,54.55952380952381
LP001491,1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,1,6816.0,8.827028068509152,4.477336814478207,0.24444444444444444,77.45454545454545
LP001492,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,0,14999.0,9.61573881119536,5.488937726156687,0.6722222222222223,61.97933884297521
LP001493,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0,5630.0,8.635864721133736,4.859812404361672,0.35833333333333334,43.64341085271318
LP001497,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0,7125.0,8.871365005136852,5.220355825078324,0.5138888888888888,38.513513513513516
LP001498,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1,5417.0,8.597297435657898,5.123963979403259,0.4666666666666667,32.24404761904762
LP001504,1,0,0,0,1,6950,0.0,175.0,180.0,1.0,1,1,6950.0,8.846496938558838,5.1647859739235145,0.9722222222222222,39.714285714285715
LP001507,1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,1,4732.0,8.462103225098277,4.804021044733257,0.3388888888888889,38.78688524590164
LP001508,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1,11757.0,9.372204086867741,5.231108616854587,1.038888888888889,62.8716577540107
LP001514,0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1,6816.0,8.827028068509152,4.605170185988092,0.2777777777777778,68.16
LP001516,0,1,2,0,0,14866,0.0,70.0,360.0,1.0,2,1,14866.0,9.60683200528524,4.248495242049359,0.19444444444444445,212.37142857142857
LP001518,1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,1,2963.0,7.993957547573565,3.4011973816621555,0.08333333333333333,98.76666666666667
LP001519,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0,11666.0,9.364433907313582,5.41610040220442,0.625,51.84888888888889
LP001520,1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1,5690.0,8.646465527120377,4.8283137373023015,0.3472222222222222,45.52
LP001528,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0,6277.0,8.744647438317532,4.770684624465665,0.3277777777777778,53.19491525423729
LP001529,1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1,6327.0,8.752581469146884,5.0238805208462765,0.4222222222222222,41.625
LP001531,1,0,0,0,0,9166,0.0,244.0,360.0,1.0,2,0,9166.0,9.123256265069069,5.497168225293202,0.6777777777777778,37.5655737704918
LP001532,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0,2281.0,7.732369222284388,4.727387818712341,0.3138888888888889,20.1858407079646
LP001535,1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1,3254.0,8.087640287778983,3.912023005428146,0.1388888888888889,65.08
LP001536,1,1,3,0,0,39999,0.0,600.0,180.0,0.0,1,1,39999.0,10.596609732783568,6.396929655216146,3.3333333333333335,66.665
LP001541,1,1,1,0,0,6000,0.0,160.0,360.0,1.0,0,1,6000.0,8.699514748210191,5.075173815233827,0.4444444444444444,37.5
LP001543,1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,1,9538.0,9.16303909885817,5.231108616854587,0.5194444444444445,51.00534759358289
LP001546,1,0,0,0,0,2980,2083.0,120.0,360.0,1.0,0,1,5063.0,8.529714471969909,4.787491742782046,0.3333333333333333,42.19166666666667
LP001552,1,1,0,0,0,4583,5625.0,255.0,360.0,1.0,1,1,10208.0,9.23092700558457,5.541263545158426,0.7083333333333334,40.03137254901961
LP001560,1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,1,2904.0,7.973844375944687,4.584967478670572,0.2722222222222222,29.632653061224488
LP001562,1,1,0,0,0,7933,0.0,275.0,360.0,1.0,2,0,7933.0,8.978786553302003,5.616771097666572,0.7638888888888888,28.847272727272728
LP001565,1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,0,4369.0,8.382289428951436,4.795790545596741,0.33611111111111114,36.107438016528924
LP001570,1,1,2,0,0,4167,1447.0,158.0,360.0,1.0,0,1,5614.0,8.633018756921828,5.062595033026967,0.4388888888888889,35.53164556962025
LP001572,1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,1,9323.0,9.140239744296693,4.31748811353631,0.4166666666666667,124.30666666666667
LP001574,1,1,0,0,0,3707,3166.0,182.0,360.0,1.0,0,1,6873.0,8.835355971121606,5.204006687076795,0.5055555555555555,37.76373626373626
LP001577,0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,0,4583.0,8.430109084509125,4.718498871295094,0.3111111111111111,40.919642857142854
LP001578,1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0,1,5772.0,8.660773919893762,4.859812404361672,0.35833333333333334,44.74418604651163
LP001579,1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,0,2237.0,7.71289096149013,4.143134726391533,0.13125,35.507936507936506
LP001580,1,1,2,0,0,8000,0.0,200.0,360.0,1.0,1,1,8000.0,8.987196820661973,5.298317366548036,0.5555555555555556,40.0
LP001581,1,1,0,1,0,1820,1769.0,95.0,360.0,1.0,0,1,3589.0,8.185628891147607,4.553876891600541,0.2638888888888889,37.77894736842105
LP001585,1,1,3,0,0,51763,0.0,700.0,300.0,1.0,2,1,51763.0,10.854430887309706,6.551080335043404,2.3333333333333335,73.94714285714285
LP001586,1,1,3,1,0,3522,0.0,81.0,180.0,1.0,0,0,3522.0,8.166784289056151,4.394449154672439,0.45,43.48148148148148
LP001594,1,1,0,0,0,5708,5625.0,187.0,360.0,1.0,1,1,11333.0,9.335474102732949,5.231108616854587,0.5194444444444445,60.60427807486631
LP001603,1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,0,5080.0,8.533066540572527,4.465908118654584,0.24166666666666667,58.39080459770115
LP001606,1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,1,5461.0,8.605387202152153,4.7535901911063645,0.32222222222222224,47.077586206896555
LP001608,1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,1,3664.0,8.20631072579402,4.61512051684126,0.28055555555555556,36.277227722772274
LP001610,1,1,3,0,0,5516,11300.0,495.0,360.0,0.0,1,0,16816.0,9.730086093116732,6.20455776256869,1.375,33.971717171717174
LP001616,1,1,1,0,0,3750,0.0,116.0,360.0,1.0,1,1,3750.0,8.229511118964457,4.7535901911063645,0.32222222222222224,32.327586206896555
LP001630,1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,0,3784.0,8.238536930171769,4.624972813284271,0.2125,37.09803921568628
LP001633,1,1,1,0,0,6400,7250.0,180.0,360.0,0.0,2,0,13650.0,9.521494800613105,5.19295685089021,0.5,75.83333333333333
LP001634,1,0,0,0,0,1916,5063.0,67.0,360.0,1.0,0,0,6979.0,8.850660919017152,4.204692619390966,0.18611111111111112,104.16417910447761
